Werk,Buchungsdatum,Material Document,Kraftstoff,Menge,Einheit,Cost Center,Vendor
PLT-US-03,2026/01/02,4900000001,Natural Gas,14642,L,OPS-4914,Delhi Gas Utility
PLT-DE-01,01-03-2026,4900000002,LPG,13484,gal,OPS-5728,ACME Fuels GmbH
PLT-IN-02,04.01.2026,4900000003,Natural Gas,3955,L,OPS-6069,ACME Fuels GmbH
PLT-SG-05,2026/01/05,4900000004,BioFuel-X,73613,ltr,OPS-4902,Metro Industrial Fuels
PLT-IN-02,01-06-2026,4900000005,BioFuel-X,36513,L,OPS-5393,Northstar Energy
PLT-US-03,07.01.2026,4900000006,Diesel,20429,ltr,OPS-4379,Metro Industrial Fuels
PLT-US-03,2026/01/08,4900000007,LPG,12726,Liters,OPS-5083,ACME Fuels GmbH
PLT-DE-01,01-09-2026,4900000008,BioFuel-X,60267,gal,OPS-4322,Northstar Energy
PLT-IN-02,10.01.2026,4900000009,Diesel,47450,gal,OPS-4187,Delhi Gas Utility
PLT-IN-02,2026/01/11,4900000010,Diesel,37980,L,OPS-5556,Northstar Energy
PLT-IN-02,01-12-2026,4900000011,Petrol,59479,Liters,OPS-5455,Delhi Gas Utility
PLT-SG-05,13.01.2026,4900000012,Natural Gas,35043,L,OPS-6187,Delhi Gas Utility
PLT-UK-04,2026/01/14,4900000013,Petrol,21467,therm,OPS-6621,Delhi Gas Utility
PLT-IN-02,01-15-2026,4900000014,Diesel,42554,L,OPS-5292,Metro Industrial Fuels
PLT-IN-02,16.01.2026,4900000015,LPG,35143,L,OPS-6940,Northstar Energy
PLT-UK-04,2026/01/17,4900000016,BioFuel-X,27919,therm,OPS-4585,Northstar Energy
PLT-SG-05,01-18-2026,4900000017,LPG,18351,ltr,OPS-5076,Metro Industrial Fuels
PLT-IN-02,19.01.2026,4900000018,Natural Gas,52400,Liters,OPS-6087,Metro Industrial Fuels
PLT-DE-01,2026/01/20,4900000019,Natural Gas,11965,L,OPS-6570,Delhi Gas Utility
PLT-DE-01,01-21-2026,4900000020,BioFuel-X,55383,gal,OPS-5563,Metro Industrial Fuels
PLT-SG-05,22.01.2026,4900000021,Diesel,69402,Liters,OPS-6786,ACME Fuels GmbH
PLT-US-03,2026/01/23,4900000022,Diesel,70431,Liters,OPS-5202,Metro Industrial Fuels
PLT-DE-01,01-24-2026,4900000023,Petrol,20780,therm,OPS-6050,Delhi Gas Utility
PLT-US-03,25.01.2026,4900000024,LPG,66592,L,OPS-6494,Delhi Gas Utility
PLT-IN-02,2026/01/26,4900000025,LPG,20082,Liters,OPS-6172,ACME Fuels GmbH
PLT-DE-01,01-27-2026,4900000026,Diesel,42537,therm,OPS-5486,Northstar Energy
PLT-IN-02,28.01.2026,4900000027,LPG,31435,L,OPS-4322,ACME Fuels GmbH
PLT-SG-05,2026/01/29,4900000028,Natural Gas,63749,L,OPS-4525,Metro Industrial Fuels
PLT-US-03,01-30-2026,4900000029,LPG,72113,ltr,OPS-6484,Metro Industrial Fuels
PLT-IN-02,31.01.2026,4900000030,Petrol,27810,gal,OPS-5634,Northstar Energy
PLT-UK-04,2026/02/01,4900000031,Diesel,57472,gal,OPS-5015,Delhi Gas Utility
PLT-DE-01,02-02-2026,4900000032,LPG,8442,Liters,OPS-6268,Delhi Gas Utility
PLT-DE-01,03.02.2026,4900000033,Diesel,28914,L,OPS-4937,ACME Fuels GmbH
PLT-DE-01,2026/02/04,4900000034,LPG,4167,Liters,OPS-4974,Northstar Energy
PLT-SG-05,02-05-2026,4900000035,Natural Gas,63674,ltr,OPS-6962,Metro Industrial Fuels
PLT-UK-04,06.02.2026,4900000036,Natural Gas,31900,therm,OPS-4386,ACME Fuels GmbH
PLT-UK-04,2026/02/07,4900000037,BioFuel-X,56548,Liters,OPS-5912,ACME Fuels GmbH
PLT-UK-04,02-08-2026,4900000038,Petrol,12949,L,OPS-4447,Delhi Gas Utility
PLT-SG-05,09.02.2026,4900000039,BioFuel-X,25162,ltr,OPS-4574,Metro Industrial Fuels
PLT-UK-04,2026/02/10,4900000040,Natural Gas,24100,Liters,OPS-4308,Metro Industrial Fuels
PLT-DE-01,02-11-2026,4900000041,LPG,72182,L,OPS-4060,ACME Fuels GmbH
PLT-UK-04,12.02.2026,4900000042,BioFuel-X,31032,ltr,OPS-5971,Delhi Gas Utility
PLT-IN-02,2026/02/13,4900000043,BioFuel-X,52615,L,OPS-4008,Metro Industrial Fuels
PLT-US-03,02-14-2026,4900000044,BioFuel-X,34810,therm,OPS-6853,Metro Industrial Fuels
PLT-US-03,15.02.2026,4900000045,Natural Gas,20339,ltr,OPS-4239,ACME Fuels GmbH
PLT-DE-01,2026/02/16,4900000046,LPG,41154,L,OPS-5952,Delhi Gas Utility
PLT-DE-01,02-17-2026,4900000047,Natural Gas,7505,gal,OPS-4280,ACME Fuels GmbH
PLT-DE-01,18.02.2026,4900000048,LPG,30878,therm,OPS-5008,ACME Fuels GmbH
PLT-SG-05,2026/02/19,4900000049,LPG,10795,therm,OPS-6141,Northstar Energy
PLT-US-03,02-20-2026,4900000050,Natural Gas,34229,ltr,OPS-5087,Metro Industrial Fuels
PLT-UK-04,21.02.2026,4900000051,Petrol,17204,Liters,OPS-4297,ACME Fuels GmbH
PLT-SG-05,2026/02/22,4900000052,Diesel,60118,gal,OPS-4300,Delhi Gas Utility
PLT-IN-02,02-23-2026,4900000053,Petrol,66357,Liters,OPS-4281,Delhi Gas Utility
PLT-IN-02,24.02.2026,4900000054,BioFuel-X,48484,Liters,OPS-6225,Northstar Energy
PLT-SG-05,2026/02/25,4900000055,Petrol,69379,L,OPS-6717,ACME Fuels GmbH
PLT-DE-01,02-26-2026,4900000056,Diesel,17651,Liters,OPS-6266,Delhi Gas Utility
PLT-SG-05,27.02.2026,4900000057,Natural Gas,35747,Liters,OPS-6939,Northstar Energy
PLT-SG-05,2026/02/28,4900000058,BioFuel-X,26735,Liters,OPS-5028,ACME Fuels GmbH
PLT-US-03,03-01-2026,4900000059,Diesel,12147,therm,OPS-4014,Northstar Energy
PLT-IN-02,02.03.2026,4900000060,BioFuel-X,17196,Liters,OPS-6259,Metro Industrial Fuels
PLT-DE-01,2026/03/03,4900000061,Diesel,73569,L,OPS-6830,Delhi Gas Utility
PLT-US-03,03-04-2026,4900000062,LPG,71561,L,OPS-6263,Delhi Gas Utility
PLT-DE-01,05.03.2026,4900000063,Petrol,56383,ltr,OPS-5493,ACME Fuels GmbH
PLT-IN-02,2026/03/06,4900000064,Diesel,46948,ltr,OPS-5448,Metro Industrial Fuels
PLT-IN-02,03-07-2026,4900000065,Natural Gas,20307,ltr,OPS-5688,ACME Fuels GmbH
PLT-UK-04,08.03.2026,4900000066,Natural Gas,23559,Liters,OPS-5092,Delhi Gas Utility
PLT-DE-01,2026/03/09,4900000067,BioFuel-X,14218,therm,OPS-4911,Delhi Gas Utility
PLT-US-03,03-10-2026,4900000068,Natural Gas,60382,Liters,OPS-4913,ACME Fuels GmbH
PLT-US-03,11.03.2026,4900000069,Petrol,25363,therm,OPS-4284,Northstar Energy
PLT-UK-04,2026/03/12,4900000070,LPG,46075,gal,OPS-5356,ACME Fuels GmbH
PLT-IN-02,03-13-2026,4900000071,LPG,15168,Liters,OPS-5087,ACME Fuels GmbH
PLT-UK-04,14.03.2026,4900000072,Petrol,14258,gal,OPS-6984,Northstar Energy
PLT-SG-05,2026/03/15,4900000073,Diesel,57249,gal,OPS-5577,Delhi Gas Utility
PLT-UK-04,03-16-2026,4900000074,Diesel,33436,L,OPS-6129,Delhi Gas Utility
PLT-DE-01,17.03.2026,4900000075,Petrol,47789,therm,OPS-6552,Northstar Energy
PLT-SG-05,2026/03/18,4900000076,Petrol,16384,Liters,OPS-6731,Metro Industrial Fuels
PLT-US-03,03-19-2026,4900000077,LPG,42803,therm,OPS-4521,Delhi Gas Utility
PLT-IN-02,20.03.2026,4900000078,LPG,55158,therm,OPS-6331,Northstar Energy
PLT-DE-01,2026/03/21,4900000079,Petrol,53275,gal,OPS-5175,Delhi Gas Utility
PLT-SG-05,03-22-2026,4900000080,Petrol,56396,gal,OPS-5904,Metro Industrial Fuels
PLT-SG-05,23.03.2026,4900000081,BioFuel-X,58004,ltr,OPS-4695,ACME Fuels GmbH
PLT-SG-05,2026/03/24,4900000082,Petrol,37246,gal,OPS-4382,Delhi Gas Utility
PLT-IN-02,03-25-2026,4900000083,Natural Gas,40737,ltr,OPS-4100,ACME Fuels GmbH
PLT-SG-05,26.03.2026,4900000084,Diesel,32142,therm,OPS-5865,Metro Industrial Fuels
PLT-UK-04,2026/03/27,4900000085,BioFuel-X,25535,therm,OPS-4999,Delhi Gas Utility
PLT-UK-04,03-28-2026,4900000086,Natural Gas,776,L,OPS-4720,Metro Industrial Fuels
PLT-IN-02,29.03.2026,4900000087,Diesel,6632,gal,OPS-5869,Delhi Gas Utility
PLT-SG-05,2026/03/30,4900000088,LPG,60951,gal,OPS-5299,Metro Industrial Fuels
PLT-SG-05,03-31-2026,4900000089,BioFuel-X,66212,therm,OPS-4651,Metro Industrial Fuels
PLT-IN-02,01.04.2026,4900000090,Petrol,59041,Liters,OPS-6135,Metro Industrial Fuels
PLT-UK-04,2026/04/02,4900000091,Diesel,31408,Liters,OPS-6922,Northstar Energy
PLT-US-03,04-03-2026,4900000092,Petrol,30785,Liters,OPS-6212,ACME Fuels GmbH
PLT-IN-02,04.04.2026,4900000093,BioFuel-X,18186,ltr,OPS-6842,Delhi Gas Utility
PLT-UK-04,2026/04/05,4900000094,BioFuel-X,28093,L,OPS-5355,Metro Industrial Fuels
PLT-IN-02,04-06-2026,4900000095,BioFuel-X,54546,L,OPS-5595,ACME Fuels GmbH
PLT-DE-01,07.04.2026,4900000096,Petrol,49907,therm,OPS-5223,Metro Industrial Fuels
PLT-SG-05,2026/04/08,4900000097,LPG,54971,gal,OPS-4903,Metro Industrial Fuels
PLT-UK-04,04-09-2026,4900000098,BioFuel-X,28810,Liters,OPS-4118,Metro Industrial Fuels
PLT-IN-02,10.04.2026,4900000099,BioFuel-X,44107,therm,OPS-4522,ACME Fuels GmbH
PLT-SG-05,2026/04/11,4900000100,Diesel,51695,gal,OPS-4343,Metro Industrial Fuels
PLT-IN-02,04-12-2026,4900000101,Diesel,17836,therm,OPS-5065,Metro Industrial Fuels
PLT-UK-04,13.04.2026,4900000102,Petrol,42956,ltr,OPS-5382,Metro Industrial Fuels
PLT-US-03,2026/04/14,4900000103,Diesel,36521,therm,OPS-5926,ACME Fuels GmbH
PLT-US-03,04-15-2026,4900000104,Natural Gas,70752,L,OPS-6662,ACME Fuels GmbH
PLT-IN-02,16.04.2026,4900000105,Natural Gas,5326,L,OPS-4083,Delhi Gas Utility
PLT-UK-04,2026/04/17,4900000106,Diesel,31316,ltr,OPS-6310,Delhi Gas Utility
PLT-US-03,04-18-2026,4900000107,Natural Gas,61002,Liters,OPS-6481,ACME Fuels GmbH
PLT-DE-01,19.04.2026,4900000108,LPG,21515,Liters,OPS-4105,Northstar Energy
PLT-IN-02,2026/04/20,4900000109,Diesel,49242,therm,OPS-6425,Delhi Gas Utility
PLT-SG-05,04-21-2026,4900000110,Diesel,13406,Liters,OPS-6318,ACME Fuels GmbH
PLT-UK-04,22.04.2026,4900000111,Petrol,45558,gal,OPS-4282,Northstar Energy
PLT-UK-04,2026/04/23,4900000112,Diesel,1708,therm,OPS-5775,Northstar Energy
PLT-UK-04,04-24-2026,4900000113,Natural Gas,60308,ltr,OPS-6137,Northstar Energy
PLT-UK-04,25.04.2026,4900000114,BioFuel-X,70589,therm,OPS-6994,Northstar Energy
PLT-DE-01,2026/04/26,4900000115,Petrol,42295,ltr,OPS-5846,Delhi Gas Utility
PLT-SG-05,04-27-2026,4900000116,BioFuel-X,60960,gal,OPS-5377,ACME Fuels GmbH
PLT-IN-02,28.04.2026,4900000117,BioFuel-X,64839,Liters,OPS-4868,Northstar Energy
PLT-US-03,2026/04/29,4900000118,LPG,33912,Liters,OPS-6872,Northstar Energy
PLT-SG-05,04-30-2026,4900000119,Natural Gas,72898,L,OPS-4350,Delhi Gas Utility
PLT-SG-05,01.05.2026,4900000120,Natural Gas,53321,therm,OPS-6828,Metro Industrial Fuels
PLT-DE-01,2026/05/02,4900000121,Diesel,64382,therm,OPS-5205,Delhi Gas Utility
PLT-US-03,05-03-2026,4900000122,LPG,53055,ltr,OPS-5511,Metro Industrial Fuels
PLT-US-03,04.05.2026,4900000123,BioFuel-X,72594,gal,OPS-6254,Northstar Energy
