Trip ID,Category,Trip Date,From Airport,To Airport,Distance Km,Unit,Nights,Employee Region
T-000001,Hotel,2026-01-02,,,,km,4,UK
T-000002,Flight,2026-01-03,SFO,BOM,3719,km,,UK
T-000003,Hotel,2026-01-04,,,,km,4,Singapore
T-000004,Flight,2026-01-05,SIN,BOM,,km,,UAE
T-000005,Hotel,2026-01-06,,,,km,5,UAE
T-000006,Ground,2026-01-07,,,157,km,,UAE
T-000007,Flight,2026-01-08,BLR,BOM,8318,km,,US
T-000008,Ground,2026-01-09,,,71,km,,UAE
T-000009,Hotel,2026-01-10,,,,km,4,India
T-000010,Flight,2026-01-11,BOM,DXB,1333,km,,Singapore
T-000011,Ground,2026-01-12,,,98,km,,UAE
T-000012,Flight,2026-01-13,DXB,JFK,,km,,UAE
T-000013,Ground,2026-01-14,,,176,km,,UAE
T-000014,Hotel,2026-01-15,,,,km,11,India
T-000015,Hotel,2026-01-16,,,,km,7,US
T-000016,Ground,2026-01-17,,,7,km,,India
T-000017,Flight,2026-01-18,BOM,SIN,1587,km,,UK
T-000018,Flight,2026-01-19,SIN,DEL,9609,km,,US
T-000019,Hotel,2026-01-20,,,,km,3,Singapore
T-000020,Flight,2026-01-21,LHR,DXB,,km,,Singapore
T-000021,Flight,2026-01-22,LHR,JFK,7976,km,,Singapore
T-000022,Hotel,2026-01-23,,,,km,2,US
T-000023,Hotel,2026-01-24,,,,km,5,UK
T-000024,Hotel,2026-01-25,,,,km,6,India
T-000025,Flight,2026-01-26,DXB,JFK,10110,km,,UK
T-000026,Ground,2026-01-27,,,7,km,,India
T-000027,Hotel,2026-01-28,,,,km,10,US
T-000028,Ground,2026-01-29,,,98,km,,UK
T-000029,Ground,2026-01-30,,,163,km,,Singapore
T-000030,Hotel,2026-01-31,,,,km,11,UK
T-000031,Hotel,2026-02-01,,,,km,11,UK
T-000032,Hotel,2026-02-02,,,,km,11,Singapore
T-000033,Flight,2026-02-03,LHR,JFK,10327,km,,UK
T-000034,Hotel,2026-02-04,,,,km,10,India
T-000035,Flight,2026-02-05,JFK,BLR,6465,km,,UAE
T-000036,Hotel,2026-02-06,,,,km,5,UK
T-000037,Ground,2026-02-07,,,161,km,,India
T-000038,Hotel,2026-02-08,,,,km,7,UAE
T-000039,Flight,2026-02-09,BOM,SFO,4231,km,,Singapore
T-000040,Hotel,2026-02-10,,,,km,4,India
T-000041,Hotel,2026-02-11,,,,km,5,UAE
T-000042,Hotel,2026-02-12,,,,km,10,Singapore
T-000043,Ground,2026-02-13,,,162,km,,Singapore
T-000044,Hotel,2026-02-14,,,,km,11,India
T-000045,Hotel,2026-02-15,,,,km,8,Singapore
T-000046,Flight,2026-02-16,DXB,SFO,11112,km,,India
T-000047,Flight,2026-02-17,LHR,SIN,11401,km,,UAE
T-000048,Flight,2026-02-18,DEL,LHR,,km,,US
