Account Number,Meter ID,Billing Start,Billing End,kWh,Unit,Tariff,Service Address
U-1001,MTR-BLR-009,2026-01-02,2026-01-29,16158,kWh,HT Industrial,Lab San Francisco
U-1002,MTR-LON-011,2026-01-03,2026-02-01,23526,kWh,HT Industrial,Warehouse Bangalore
U-1003,MTR-BLR-003,2026-01-04,2026-02-17,11597,kWh,HT Industrial,Factory London
U-1004,MTR-DEL-010,2026-01-05,2026-02-04,102406,kWh,Green Supply,Plant Delhi
U-1005,MTR-BLR-025,2026-01-06,2026-02-05,27977,kWh,Green Supply,Lab San Francisco
U-1006,MTR-SFO-010,2026-01-07,2026-02-20,70278,kWh,Green Supply,Office Mumbai
U-1007,MTR-LON-012,2026-01-08,2026-02-21,141276,kWh,Commercial,Plant Delhi
U-1008,MTR-MUM-013,2026-01-09,2026-02-09,137013,kWh,Commercial,Lab San Francisco
U-1009,MTR-SFO-018,2026-01-10,2026-02-08,137289,kWh,HT Industrial,Lab San Francisco
U-1010,MTR-BLR-025,2026-01-11,2026-02-07,140249,kWh,General Service,Factory London
U-1011,MTR-BLR-004,2026-01-12,2026-02-12,36738,kWh,Time of Use,Office Mumbai
U-1012,MTR-BLR-017,2026-01-13,2026-02-11,14735,kWh,Time of Use,Factory London
U-1013,MTR-MUM-014,2026-01-14,2026-02-11,81145,kWh,Green Supply,Warehouse Bangalore
U-1014,MTR-LON-025,2026-01-15,2026-02-11,58431,kWh,General Service,Factory London
U-1015,MTR-SFO-024,2026-01-16,2026-02-13,170546,kWh,Green Supply,Warehouse Bangalore
U-1016,MTR-DEL-010,2026-01-17,2026-02-13,152925,kWh,Green Supply,Plant Delhi
U-1017,MTR-MUM-025,2026-01-18,2026-03-03,71555,kWh,Time of Use,Plant Delhi
U-1018,MTR-SFO-011,2026-01-19,2026-02-18,41426,kWh,Commercial,Plant Delhi
U-1019,MTR-DEL-009,2026-01-20,2026-02-20,7611,kWh,Green Supply,Plant Delhi
U-1020,MTR-MUM-005,2026-01-21,2026-03-06,102452,kWh,General Service,Factory London
U-1021,MTR-DEL-018,2026-01-22,2026-02-19,114906,kWh,HT Industrial,Lab San Francisco
U-1022,MTR-MUM-024,2026-01-23,2026-02-21,145549,kWh,Commercial,Office Mumbai
U-1023,MTR-LON-019,2026-01-24,2026-02-24,65706,kWh,HT Industrial,Office Mumbai
U-1024,MTR-LON-025,2026-01-25,2026-02-24,10447,kWh,Time of Use,Factory London
U-1025,MTR-SFO-007,2026-01-26,2026-02-22,41783,kWh,Green Supply,Office Mumbai
U-1026,MTR-BLR-025,2026-01-27,2026-02-26,90942,kWh,Time of Use,Plant Delhi
U-1027,MTR-BLR-016,2026-01-28,2026-03-13,112419,kWh,Green Supply,Factory London
U-1028,MTR-DEL-013,2026-01-29,2026-02-28,120064,kWh,Time of Use,Factory London
U-1029,MTR-SFO-006,2026-01-30,2026-02-26,21915,kWh,HT Industrial,Warehouse Bangalore
U-1030,MTR-DEL-003,2026-01-31,2026-02-27,129658,kWh,HT Industrial,Lab San Francisco
U-1031,MTR-DEL-003,2026-02-01,2026-03-17,172384,kWh,Time of Use,Lab San Francisco
U-1032,MTR-LON-023,2026-02-02,2026-03-05,50389,kWh,Time of Use,Lab San Francisco
U-1033,MTR-LON-006,2026-02-03,2026-03-05,128710,kWh,General Service,Warehouse Bangalore
U-1034,MTR-BLR-022,2026-02-04,2026-03-06,47940,kWh,Time of Use,Warehouse Bangalore
U-1035,MTR-MUM-004,2026-02-05,2026-03-06,120818,kWh,HT Industrial,Office Mumbai
U-1036,MTR-DEL-025,2026-02-06,2026-03-05,62417,kWh,Time of Use,Lab San Francisco
U-1037,MTR-LON-008,2026-02-07,2026-03-23,134669,kWh,Time of Use,Lab San Francisco
U-1038,MTR-MUM-004,2026-02-08,2026-03-07,135313,kWh,HT Industrial,Lab San Francisco
U-1039,MTR-MUM-017,2026-02-09,2026-03-11,166766,kWh,Commercial,Plant Delhi
U-1040,MTR-BLR-011,2026-02-10,2026-03-11,53637,kWh,Commercial,Warehouse Bangalore
U-1041,MTR-SFO-012,2026-02-11,2026-03-14,158170,kWh,Green Supply,Lab San Francisco
U-1042,MTR-DEL-017,2026-02-12,2026-03-13,56977,kWh,HT Industrial,Plant Delhi
